"","Jahr","Monat","Tag","Jahrestag","T.max","T.min","T.mittel","N","Sonnenscheinst."
"1","1970"," 1"," 1","  1","-3.5","-4.8","-4.15","0",""
"2","1970"," 1"," 2","  2","-1","-6.5","-3.75","0",""
"3","1970"," 1"," 3","  3","1","-2.5","-0.75","2.7",""
"4","1970"," 1"," 4","  4","0.8","-0.4","0.2","0.8",""
"5","1970"," 1"," 5","  5","-0.1","-4.1","-2.1","4",""
"6","1970"," 1"," 6","  6","-0.7","-4.5","-2.6","3.2","1.1"
"7","1970"," 1"," 7","  7","0","-4.8","-2.4","0",""
"8","1970"," 1"," 8","  8","-0.3","-5.4","-2.85","0",""
"9","1970"," 1"," 9","  9","3.6","-1.6","1","1.8",""
"10","1970"," 1","10"," 10","4.3","2.5","3.4","5.8",""
"11","1970"," 1","11"," 11","5.3","1.5","3.4","0.6","0.2"
"12","1970"," 1","12"," 12","7.1","-0.2","3.45","0","4"
"13","1970"," 1","13"," 13","7.3","0.9","4.1","0","4.4"
"14","1970"," 1","14"," 14","5.2","-2.7","1.25","0.2","1"
"15","1970"," 1","15"," 15","7","1.8","4.4","4.3",""
"16","1970"," 1","16"," 16","6","3.5","4.75","0.7",""
"17","1970"," 1","17"," 17","4.5","3.5","4","1","0.2"
"18","1970"," 1","18"," 18","5","1.8","3.4","0","1.9"
"19","1970"," 1","19"," 19","0.5","-1.3","-0.4","0",""
"20","1970"," 1","20"," 20","-0.5","-3.2","-1.85","0",""
"21","1970"," 1","21"," 21","-4.5","-6","-5.25","0",""
"22","1970"," 1","22"," 22","-1","-6","-3.5","2.1","0.1"
"23","1970"," 1","23"," 23","3.5","-1.5","1","0.9",""
"24","1970"," 1","24"," 24","5.9","3","4.45","13.3",""
"25","1970"," 1","25"," 25","8.1","4.2","6.15","1.4",""
"26","1970"," 1","26"," 26","8.2","4.5","6.35","7.2",""
"27","1970"," 1","27"," 27","7.1","2","4.55","9.3",""
"28","1970"," 1","28"," 28","3.1","-2.2","0.45","0",""
"29","1970"," 1","29"," 29","3.3","-3","-0.9375","0",""
"30","1970"," 1","30"," 30","2.1","-0.2","-2.325","3.6",""
"31","1970"," 1","31"," 31","0.8","-3.7","-3.7125","0",""
"32","1970"," 2"," 1"," 32","-2","-8.2","-5.1","0","5.2"
"33","1970"," 2"," 2"," 33","10.5","-6.8","1.85","0",""
"34","1970"," 2"," 3"," 34","7.8","4","5.9","0","6.7"
"35","1970"," 2"," 4"," 35","7.1","0.5","3.8","0.6",""
"36","1970"," 2"," 5"," 36","6.6","2.6","4.6","3.1","0.2"
"37","1970"," 2"," 6"," 37","4.5","-2.3","1.1","0.3","6.8"
"38","1970"," 2"," 7"," 38","4.5","-6.1","-0.8","2.8",""
"39","1970"," 2"," 8"," 39","7.5","1","4.25","6.8","0.5"
"40","1970"," 2"," 9"," 40","7","0.6","3.8","8.4","2.2"
"41","1970"," 2","10"," 41","3.3","0.4","1.85","3.1","1.2"
"42","1970"," 2","11"," 42","4","-2","1","0","4.3"
"43","1970"," 2","12"," 43","4.2","-2","1.1","14.1",""
"44","1970"," 2","13"," 44","1.5","-2.4","-0.45","2.6","1"
"45","1970"," 2","14"," 45","-0.2","-2.7","-1.45","0",""
"46","1970"," 2","15"," 46","-1.5","-7","-4.25","0","7.4"
"47","1970"," 2","16"," 47","-3","-9.5","-6.25","2.8",""
"48","1970"," 2","17"," 48","2.8","-5.8","-1.5","2.5",""
"49","1970"," 2","18"," 49","1.1","-2.1","-0.5","0.9","0.8"
"50","1970"," 2","19"," 50","4.5","-1","1.75","2.8",""
"51","1970"," 2","20"," 51","6.5","1.9","4.2","5.8","3"
"52","1970"," 2","21"," 52","9.8","1.3","5.55","5.7",""
"53","1970"," 2","22"," 53","10","6.6","8.3","3.1",""
"54","1970"," 2","23"," 54","6.9","1.9","4.4","9.6","3"
"55","1970"," 2","24"," 55","4.6","2.7","3.65","2.3",""
"56","1970"," 2","25"," 56","5.5","1.3","3.4","2.7","9.2"
"57","1970"," 2","26"," 57","4.6","-1","1.8","0.3","4.6"
"58","1970"," 2","27"," 58","2","-1","0.5","0","1.1"
"59","1970"," 2","28"," 59","0","-2.9","-1.45","0","2.1"
"60","1970"," 3"," 1"," 60","3","-4.9","-0.95","0","8"
"61","1970"," 3"," 2"," 61","2.5","-3.5","-0.5","5","2.1"
"62","1970"," 3"," 3"," 62","2.3","-6.4","-2.05","0","2"
"63","1970"," 3"," 4"," 63","1.1","-5","-1.95","0","1.6"
"64","1970"," 3"," 5"," 64","1","-5","-2","0.4","1.8"
"65","1970"," 3"," 6"," 65","2.3","-1.7","0.3","0","2.2"
"66","1970"," 3"," 7"," 66","1.7","-2.5","-0.4","2.1","2.4"
"67","1970"," 3"," 8"," 67","0.1","-3.8","-1.85","3.5","3.2"
"68","1970"," 3"," 9"," 68","1.5","-9.5","-4","0","0.9"
"69","1970"," 3","10"," 69","4","0.3","2.15","10.2","0.3"
"70","1970"," 3","11"," 70","1.5","-3.2","-0.85","3.3","2.1"
"71","1970"," 3","12"," 71","5.4","-2.9","1.25","0",""
"72","1970"," 3","13"," 72","9.3","-0.1","4.6","0","9.3"
"73","1970"," 3","14"," 73","3.9","-1.1","1.4","0",""
"74","1970"," 3","15"," 74","5.6","-2","1.8","0","8.9"
"75","1970"," 3","16"," 75","7.5","1","4.25","0.3","3"
"76","1970"," 3","17"," 76","6","3","4.5","0",""
"77","1970"," 3","18"," 77","10","1.6","5.8","8.3","3.4"
"78","1970"," 3","19"," 78","7.4","1.5","4.45","2.1","5.6"
"79","1970"," 3","20"," 79","6.9","2.6","4.75","2.7",""
"80","1970"," 3","21"," 80","10.7","6.4","8.55","0",""
"81","1970"," 3","22"," 81","10.5","5.9","8.2","0","0.5"
"82","1970"," 3","23"," 82","10.6","4.4","7.5","0","0.7"
"83","1970"," 3","24"," 83","9.8","3.5","6.65","13.4",""
"84","1970"," 3","25"," 84","9.6","4.4","7","0","3.7"
"85","1970"," 3","26"," 85","9.5","1","5.25","0","3.4"
"86","1970"," 3","27"," 86","5.8","0.8","3.3","1.6","5.5"
"87","1970"," 3","28"," 87","4.8","-1.2","1.8","0.2","4.9"
"88","1970"," 3","29"," 88","7.1","0.2","3.65","0.2","2.8"
"89","1970"," 3","30"," 89","9.4","3.6","6.5","0.3","0.7"
"90","1970"," 3","31"," 90","9.5","3.7","6.6","8.4","1.8"
"91","1970"," 4"," 1"," 91","6.7","2.4","4.55","6","3"
"92","1970"," 4"," 2"," 92","5.5","-0.5","2.5","0.1","5.7"
"93","1970"," 4"," 3"," 93","5.5","-4","0.75","1.4","7.9"
"94","1970"," 4"," 4"," 94","6","0.2","3.1","6.7",""
"95","1970"," 4"," 5"," 95","5","-0.5","2.25","1","7.6"
"96","1970"," 4"," 6"," 96","6","0.7","3.35","12.9","5.4"
"97","1970"," 4"," 7"," 97","5.5","1.1","3.3","0.4","3.7"
"98","1970"," 4"," 8"," 98","6.7","0.5","3.6","0",""
"99","1970"," 4"," 9"," 99","9.4","-1.5","3.95","0.2","7.6"
"100","1970"," 4","10","100","6.9","1.5","4.2","0.9","6"
"101","1970"," 4","11","101","9.8","1.5","5.65","0.4","2.6"
"102","1970"," 4","12","102","9.5","4.6","7.05","10.6",""
"103","1970"," 4","13","103","7.6","4.3","5.95","9.4","2"
"104","1970"," 4","14","104","8.7","3.5","6.1","0",""
"105","1970"," 4","15","105","12.8","2","7.4","0.4","2.5"
"106","1970"," 4","16","106","18.5","9","13.75","0.3","1.1"
"107","1970"," 4","17","107","22.5","9.6","16.05","0","6.1"
"108","1970"," 4","18","108","20.2","8.8","14.5","0","7.5"
"109","1970"," 4","19","109","11","7","9","3",""
"110","1970"," 4","20","110","11","3.5","7.25","0","7.7"
"111","1970"," 4","21","111","11.7","1.9","6.8","0","1.2"
"112","1970"," 4","22","112","13.3","9.5","11.4","0",""
"113","1970"," 4","23","113","12.5","10","11.25","1.4",""
"114","1970"," 4","24","114","13.3","9","11.15","4.1","0.5"
